X,Y,Z
1,1,-1
1,3,-1
-1,3,-1
-1,1,-1
-1,1,-3
-1,-1,-3
1,-1,-3
1,1,-3
1,1,-5
1,3,-5
-1,3,-5
-1,1,-5
-1,1,-7
-1,-1,-7
1,-1,-7
1,1,-7
3,1,-7
3,3,-7
1,3,-7
1,5,-7
-1,5,-7
-1,3,-7
-3,3,-7
-3,3,-5
-5,3,-5
-5,1,-5
-7,1,-5
-7,-1,-5
-5,-1,-5
-5,-3,-5
-3,-3,-5
-3,-5,-5
-1,-5,-5
-1,-7,-5
1,-7,-5
1,-5,-5
3,-5,-5
3,-3,-5
5,-3,-5
5,-1,-5
7,-1,-5
7,1,-5
7,1,-3
7,3,-3
5,3,-3
5,5,-3
3,5,-3
3,7,-3
1,7,-3
1,9,-3
-1,9,-3
-1,7,-3
-3,7,-3
-3,7,-1
-5,7,-1
-5,5,-1
-7,5,-1
-7,3,-1
-9,3,-1
-9,1,-1
-11,1,-1
-11,-1,-1
-9,-1,-1
-9,-3,-1
-7,-3,-1
-7,-5,-1
-5,-5,-1
-5,-7,-1
-3,-7,-1
-3,-9,-1
-1,-9,-1
-1,-11,-1
1,-11,-1
1,-9,-1
3,-9,-1
3,-7,-1
5,-7,-1
5,-5,-1
7,-5,-1
7,-3,-1
9,-3,-1
9,-1,-1
11,-1,-1
11,1,-1
11,1,1
11,-1,1
9,-1,1
9,-3,1
7,-3,1
7,-5,1
5,-5,1
5,-7,1
3,-7,1
3,-9,1
1,-9,1
1,-11,1
-1,-11,1
-1,-9,1
-3,-9,1
-3,-7,1
-5,-7,1
-5,-5,1
-7,-5,1
-7,-3,1
-9,-3,1
-9,-1,1
-11,-1,1
-11,1,1
-9,1,1
-9,3,1
-7,3,1
-7,5,1
-5,5,1
-5,7,1
-3,7,1
-3,7,3
-1,7,3
-1,9,3
1,9,3
1,7,3
3,7,3
3,5,3
5,5,3
5,3,3
7,3,3
7,1,3
7,1,5
7,-1,5
5,-1,5
5,-3,5
3,-3,5
3,-5,5
1,-5,5
1,-7,5
-1,-7,5
-1,-5,5
-3,-5,5
-3,-3,5
-5,-3,5
-5,-1,5
-7,-1,5
-7,1,5
-5,1,5
-5,3,5
-3,3,5
-3,3,7
-1,3,7
-1,5,7
1,5,7
1,3,7
3,3,7
3,1,7
3,1,9
3,-1,9
1,-1,9
1,-3,9
-1,-3,9
-1,-1,9
-3,-1,9
-3,1,9
-3,1,7
-5,1,7
-5,-1,7
-3,-1,7
-3,-3,7
-1,-3,7
-1,-5,7
1,-5,7
1,-3,7
3,-3,7
3,-1,7
5,-1,7
5,1,7
5,1,5
5,3,5
3,3,5
3,5,5
1,5,5
1,7,5
-1,7,5
-1,5,5
-3,5,5
-3,5,3
-5,5,3
-5,3,3
-7,3,3
-7,1,3
-9,1,3
-9,-1,3
-7,-1,3
-7,-3,3
-5,-3,3
-5,-5,3
-3,-5,3
-3,-7,3
-1,-7,3
-1,-9,3
1,-9,3
1,-7,3
3,-7,3
3,-5,3
5,-5,3
5,-3,3
7,-3,3
7,-1,3
9,-1,3
9,1,3
9,1,1
9,3,1
7,3,1
7,5,1
5,5,1
5,7,1
3,7,1
3,9,1
1,9,1
1,11,1
-1,11,1
-1,9,1
-3,9,1
-3,9,-1
-1,9,-1
-1,11,-1
1,11,-1
1,9,-1
3,9,-1
3,7,-1
5,7,-1
5,5,-1
7,5,-1
7,3,-1
9,3,-1
9,1,-1
9,1,-3
9,-1,-3
7,-1,-3
7,-3,-3
5,-3,-3
5,-5,-3
3,-5,-3
3,-7,-3
1,-7,-3
1,-9,-3
-1,-9,-3
-1,-7,-3
-3,-7,-3
-3,-5,-3
-5,-5,-3
-5,-3,-3
-7,-3,-3
-7,-1,-3
-9,-1,-3
-9,1,-3
-7,1,-3
-7,3,-3
-5,3,-3
-5,5,-3
-3,5,-3
-3,5,-5
-1,5,-5
-1,7,-5
1,7,-5
1,5,-5
3,5,-5
3,3,-5
5,3,-5
5,1,-5
5,1,-7
5,-1,-7
3,-1,-7
3,-3,-7
1,-3,-7
1,-5,-7
-1,-5,-7
-1,-3,-7
-3,-3,-7
-3,-1,-7
-5,-1,-7
-5,1,-7
-3,1,-7
-3,1,-9
-3,-1,-9
-1,-1,-9
-1,-3,-9
1,-3,-9
1,-1,-9
3,-1,-9
3,1,-9
1,1,-9
1,3,-9
-1,3,-9
-1,1,-9
-1,1,-11
-1,-1,-11
1,-1,-11
1,1,-11
3,1,-11
3,3,-11
1,3,-11
1,5,-11
-1,5,-11
-1,3,-11
-3,3,-11
-3,3,-9
-5,3,-9
-5,1,-9
-7,1,-9
-7,-1,-9
-5,-1,-9
-5,-3,-9
-3,-3,-9
-3,-5,-9
-1,-5,-9
-1,-7,-9
1,-7,-9
1,-5,-9
3,-5,-9
3,-3,-9
5,-3,-9
5,-1,-9
7,-1,-9
7,1,-9
7,1,-7
7,3,-7
5,3,-7
5,5,-7
3,5,-7
3,7,-7
1,7,-7
1,9,-7
-1,9,-7
-1,7,-7
-3,7,-7
-3,7,-5
-5,7,-5
-5,5,-5
-7,5,-5
-7,3,-5
-9,3,-5
-9,1,-5
-11,1,-5
-11,-1,-5
-9,-1,-5
-9,-3,-5
-7,-3,-5
-7,-5,-5
-5,-5,-5
-5,-7,-5
-3,-7,-5
-3,-9,-5
-1,-9,-5
-1,-11,-5
1,-11,-5
1,-9,-5
3,-9,-5
3,-7,-5
5,-7,-5
5,-5,-5
7,-5,-5
7,-3,-5
9,-3,-5
9,-1,-5
11,-1,-5
11,1,-5
11,1,-3
11,3,-3
9,3,-3
9,5,-3
7,5,-3
7,7,-3
5,7,-3
5,9,-3
3,9,-3
3,11,-3
1,11,-3
1,13,-3
-1,13,-3
-1,11,-3
-3,11,-3
-3,11,-1
-5,11,-1
-5,9,-1
-7,9,-1
-7,7,-1
-9,7,-1
-9,5,-1
-11,5,-1
-11,3,-1
-13,3,-1
-13,1,-1
-15,1,-1
-15,-1,-1
-13,-1,-1
-13,-3,-1
-11,-3,-1
-11,-5,-1
-9,-5,-1
-9,-7,-1
-7,-7,-1
-7,-9,-1
-5,-9,-1
-5,-11,-1
-3,-11,-1
-3,-13,-1
-1,-13,-1
-1,-15,-1
1,-15,-1
1,-13,-1
3,-13,-1
3,-11,-1
5,-11,-1
5,-9,-1
7,-9,-1
7,-7,-1
9,-7,-1
9,-5,-1
11,-5,-1
11,-3,-1
13,-3,-1
13,-1,-1
15,-1,-1
15,1,-1
15,1,1
15,-1,1
13,-1,1
13,-3,1
11,-3,1
11,-5,1
9,-5,1
9,-7,1
7,-7,1
7,-9,1
5,-9,1
5,-11,1
3,-11,1
3,-13,1
1,-13,1
1,-15,1
-1,-15,1
-1,-13,1
-3,-13,1
-3,-11,1
-5,-11,1
-5,-9,1
-7,-9,1
-7,-7,1
-9,-7,1
-9,-5,1
-11,-5,1
-11,-3,1
-13,-3,1
-13,-1,1
-15,-1,1
-15,1,1
-13,1,1
-13,3,1
-11,3,1
-11,5,1
-9,5,1
-9,7,1
-7,7,1
-7,9,1
-5,9,1
-5,11,1
-3,11,1
-3,11,3
-1,11,3
-1,13,3
1,13,3
1,11,3
3,11,3
3,9,3
5,9,3
5,7,3
7,7,3
7,5,3
9,5,3
9,3,3
11,3,3
11,1,3
11,1,5
11,-1,5
9,-1,5
9,-3,5
7,-3,5
7,-5,5
5,-5,5
5,-7,5
3,-7,5
3,-9,5
1,-9,5
1,-11,5
-1,-11,5
-1,-9,5
-3,-9,5
-3,-7,5
-5,-7,5
-5,-5,5
-7,-5,5
-7,-3,5
-9,-3,5
-9,-1,5
-11,-1,5
-11,1,5
-9,1,5
-9,3,5
-7,3,5
-7,5,5
-5,5,5
-5,7,5
-3,7,5
-3,7,7
-1,7,7
-1,9,7
1,9,7
1,7,7
3,7,7
3,5,7
5,5,7
5,3,7
7,3,7
7,1,7
7,1,9
7,-1,9
5,-1,9
5,-3,9
3,-3,9
3,-5,9
1,-5,9
1,-7,9
-1,-7,9
-1,-5,9
-3,-5,9
-3,-3,9
-5,-3,9
-5,-1,9
-7,-1,9
-7,1,9
-5,1,9
-5,3,9
-3,3,9
-3,3,11
-1,3,11
-1,5,11
1,5,11
1,3,11
3,3,11
3,1,11
3,1,13
3,-1,13
1,-1,13
1,-3,13
-1,-3,13
-1,-1,13
-3,-1,13
-3,1,13
-3,1,11
-5,1,11
-5,-1,11
-3,-1,11
-3,-3,11
-1,-3,11
-1,-5,11
1,-5,11
1,-3,11
3,-3,11
3,-1,11
5,-1,11
5,1,11
5,1,9
5,3,9
3,3,9
3,5,9
1,5,9
1,7,9
-1,7,9
-1,5,9
-3,5,9
-3,5,7
-5,5,7
-5,3,7
-7,3,7
-7,1,7
-9,1,7
-9,-1,7
-7,-1,7
-7,-3,7
-5,-3,7
-5,-5,7
-3,-5,7
-3,-7,7
-1,-7,7
-1,-9,7
1,-9,7
1,-7,7
3,-7,7
3,-5,7
5,-5,7
5,-3,7
7,-3,7
7,-1,7
9,-1,7
9,1,7
9,1,5
9,3,5
7,3,5
7,5,5
5,5,5
5,7,5
3,7,5
3,9,5
1,9,5
1,11,5
-1,11,5
-1,9,5
-3,9,5
-3,9,3
-5,9,3
-5,7,3
-7,7,3
-7,5,3
-9,5,3
-9,3,3
-11,3,3
-11,1,3
-13,1,3
-13,-1,3
-11,-1,3
-11,-3,3
-9,-3,3
-9,-5,3
-7,-5,3
-7,-7,3
-5,-7,3
-5,-9,3
-3,-9,3
-3,-11,3
